,date,data_col_point,x,y,rc
0,03-26-2021,00,4.0,0.0,0.0
1,03-28-2021,00,4.0,0.0,0.0446168698560357
2,03-29-2021,00,4.0,0.0,0.0252771681921174
3,03-30-2021,00,4.0,0.0,0.0729663449425044
4,04-01-2021,00,4.0,0.0,0.0597786108087421
5,03-26-2021,01,8.0,0.0,0.0
6,03-28-2021,01,8.0,0.0,-0.0099805014810046
7,03-29-2021,01,8.0,0.0,-0.0037955951406355
8,03-30-2021,01,8.0,0.0,0.0518516670204624
9,04-01-2021,01,8.0,0.0,-0.1189595767919496
10,03-26-2021,02,12.0,0.0,0.0
11,03-28-2021,02,12.0,0.0,0.0055711749674225
12,03-29-2021,02,12.0,0.0,-0.0966288480160529
13,03-30-2021,02,12.0,0.0,-0.0120648388215176
14,04-01-2021,02,12.0,0.0,-0.075580011110817
15,03-26-2021,03,0.0,4.0,0.0
16,03-28-2021,03,0.0,4.0,-0.0562523273485837
17,03-29-2021,03,0.0,4.0,-0.0954384099896425
18,03-30-2021,03,0.0,4.0,-0.049841514533545
19,04-01-2021,03,0.0,4.0,-0.1445365400869095
20,03-26-2021,04,4.0,4.0,0.0
21,03-28-2021,04,4.0,4.0,-0.0052624712482714
22,03-29-2021,04,4.0,4.0,-0.0175387619801015
23,03-30-2021,04,4.0,4.0,-0.0092717331008796
24,04-01-2021,04,4.0,4.0,-0.0538422620231388
25,03-26-2021,05,8.0,4.0,0.0
26,03-28-2021,05,8.0,4.0,0.0202796104984759
27,03-29-2021,05,8.0,4.0,0.0267467634333187
28,03-30-2021,05,8.0,4.0,-0.0515046604527296
29,04-01-2021,05,8.0,4.0,-0.0647727976421105
30,03-26-2021,06,12.0,4.0,0.0
31,03-28-2021,06,12.0,4.0,0.0147485596580348
32,03-29-2021,06,12.0,4.0,0.010143518469019
33,03-30-2021,06,12.0,4.0,0.0179089446812267
34,04-01-2021,06,12.0,4.0,-0.0120882547964244
35,03-26-2021,07,16.0,4.0,0.0
36,03-28-2021,07,16.0,4.0,-0.0220237156513082
37,03-29-2021,07,16.0,4.0,0.0189677011836552
38,03-30-2021,07,16.0,4.0,0.040695293776937
39,04-01-2021,07,16.0,4.0,-0.0240644890462949
40,03-26-2021,08,0.0,8.0,0.0
41,03-28-2021,08,0.0,8.0,-0.0521339684557124
42,03-29-2021,08,0.0,8.0,-0.1350866905813098
43,03-30-2021,08,0.0,8.0,-0.0827020727256592
44,04-01-2021,08,0.0,8.0,-0.1977316878230936
45,03-26-2021,09,4.0,8.0,0.0
46,03-28-2021,09,4.0,8.0,-0.0468420478586337
47,03-29-2021,09,4.0,8.0,-0.0171223095965106
48,03-30-2021,09,4.0,8.0,-0.1011015928177914
49,04-01-2021,09,4.0,8.0,-0.1603303479727303
50,03-26-2021,10,8.0,8.0,0.0
51,03-28-2021,10,8.0,8.0,0.0139705624978122
52,03-29-2021,10,8.0,8.0,0.0059803084274309
53,03-30-2021,10,8.0,8.0,0.0497701856329767
54,04-01-2021,10,8.0,8.0,0.0113196649227146
55,03-26-2021,11,12.0,8.0,0.0
56,03-28-2021,11,12.0,8.0,0.0373918259789574
57,03-29-2021,11,12.0,8.0,0.0861637338877216
58,03-30-2021,11,12.0,8.0,0.0649969848007547
59,04-01-2021,11,12.0,8.0,0.0441221110366772
60,03-26-2021,12,16.0,8.0,0.0
61,03-28-2021,12,16.0,8.0,0.0073107881174358
62,03-29-2021,12,16.0,8.0,0.0429534438937756
63,03-30-2021,12,16.0,8.0,0.007281850066068
64,04-01-2021,12,16.0,8.0,-0.0667687699299496
65,03-26-2021,13,0.0,12.0,0.0
66,03-28-2021,13,0.0,12.0,0.0530957088644353
67,03-29-2021,13,0.0,12.0,0.0040739958488637
68,03-30-2021,13,0.0,12.0,0.0127390089287926
69,04-01-2021,13,0.0,12.0,-0.0356254683463511
70,03-26-2021,14,4.0,12.0,0.0
71,03-28-2021,14,4.0,12.0,0.0529085879062404
72,03-29-2021,14,4.0,12.0,0.0591608476140839
73,03-30-2021,14,4.0,12.0,0.1133032309542526
74,04-01-2021,14,4.0,12.0,0.1007196153016808
75,03-26-2021,15,8.0,12.0,0.0
76,03-28-2021,15,8.0,12.0,0.0074826459779502
77,03-29-2021,15,8.0,12.0,0.062722426286678
78,03-30-2021,15,8.0,12.0,0.0460422701577749
79,04-01-2021,15,8.0,12.0,-0.0260544861737966
80,03-26-2021,16,12.0,12.0,0.0
81,03-28-2021,16,12.0,12.0,-0.0546416946192515
82,03-29-2021,16,12.0,12.0,-0.0126290723905828
83,03-30-2021,16,12.0,12.0,0.0364391324216475
84,04-01-2021,16,12.0,12.0,-0.1121775883599384
85,03-26-2021,17,16.0,12.0,0.0
86,03-28-2021,17,16.0,12.0,-0.0433869799752746
87,03-29-2021,17,16.0,12.0,0.0255482791500998
88,03-30-2021,17,16.0,12.0,0.0473943434903846
89,04-01-2021,17,16.0,12.0,-0.0598952763811811
90,03-26-2021,18,4.0,16.0,0.0
91,03-28-2021,18,4.0,16.0,0.0079227581227075
92,03-29-2021,18,4.0,16.0,0.1085665413700605
93,03-30-2021,18,4.0,16.0,0.1728813306864363
94,04-01-2021,18,4.0,16.0,0.0856103218614838
95,03-26-2021,19,8.0,16.0,0.0
96,03-28-2021,19,8.0,16.0,-0.0260664392425819
97,03-29-2021,19,8.0,16.0,0.0572034228225108
98,03-30-2021,19,8.0,16.0,0.0071358961518749
99,04-01-2021,19,8.0,16.0,0.0355894242701454
100,03-26-2021,20,12.0,16.0,0.0
101,03-28-2021,20,12.0,16.0,-0.0500959562374899
102,03-29-2021,20,12.0,16.0,-0.0070039090433167
103,03-30-2021,20,12.0,16.0,-0.0214186138936159
104,04-01-2021,20,12.0,16.0,0.0457157386808238
