emitter,txpower,rssi,timestamp,lat_emit,lng_emit,lat_sensor,lng_sensor,plot_timestamp,rc,color,width,sensor
21,5,-61.6678445229682,2021-04-23 06:31:24.259000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 06:30:00+00:00,-0.12144606108960408,"[141.8672616940443, 0.0, 0.0]",4.731312098243806,27
21,5,-64.94642857142857,2021-04-23 06:46:23.870000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 06:45:00+00:00,-0.0747375543774741,"[220.62281871047088, 0.0, 0.0]",6.94996616706998,27
21,5,-64.45484949832776,2021-04-23 07:01:24.214000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 07:00:00+00:00,-0.08174085949214831,"[207.49689254106644, 0.0, 0.0]",6.617309174122955,27
21,5,-66.29411764705881,2021-04-23 07:16:24.999000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 07:15:00+00:00,-0.055537636576220774,"[252.1250415170415, 0.0, 0.0]",7.861962262629513,27
21,5,-67.60344827586208,2021-04-23 07:31:25.563000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 07:30:00+00:00,-0.03688419424870924,"[255.0, 28.625197859053475, 0.0]",8.74800077318631,27
21,5,-66.48630136986301,2021-04-23 07:46:23.960000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 07:45:00+00:00,-0.05279968184519058,"[255.0, 2.3752405152341574, 0.0]",7.992015112353448,27
21,5,-63.961977186311785,2021-04-23 08:16:26.108000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 08:15:00+00:00,-0.088762588797771,"[196.9961516055429, 0.0, 0.0]",6.283777032105878,27
21,5,-66.48913043478261,2021-04-23 08:31:24.309000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 08:30:00+00:00,-0.05275937743455696,"[255.0, 2.3752405152341574, 0.0]",7.993929571858544,27
21,5,-65.68055555555556,2021-04-23 08:46:24.802000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 08:45:00+00:00,-0.06427877868076631,"[236.3739301137562, 0.0, 0.0]",7.4467580126636,27
21,5,-64.44333333333333,2021-04-23 09:01:24.400000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 09:00:00+00:00,-0.08190492509546662,"[207.49689254106644, 0.0, 0.0]",6.609516057965335,27
21,5,-66.18685121107265,2021-04-23 09:16:24.931000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 09:15:00+00:00,-0.05706581306070002,"[249.49985628316063, 0.0, 0.0]",7.789373879616749,27
21,5,-66.68707482993197,2021-04-23 09:31:24.546000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 09:30:00+00:00,-0.049939353005473204,"[255.0, 7.62523198399802, 0.0]",8.127880732240023,27
21,5,-67.34013605442176,2021-04-23 09:46:23.916000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 09:45:00+00:00,-0.0406354845864715,"[255.0, 20.75021065590768, 0.0]",8.569814482142604,27
21,5,-67.11447811447812,2021-04-23 10:01:24.377000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 10:00:00+00:00,-0.043850331376033856,"[255.0, 15.500219187143816, 0.0]",8.41710925963839,27
21,5,-67.72602739726027,2021-04-23 10:16:24.707000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 10:15:00+00:00,-0.03513786484858817,"[255.0, 31.25019359343541, 0.0]",8.830951419692061,27
21,5,-69.20477815699658,2021-04-23 10:31:24.461000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 10:30:00+00:00,-0.014070770406050839,"[255.0, 65.37513814040052, 0.0]",9.831638405712585,27
21,5,-67.81338028169014,2021-04-23 10:46:23.919000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 10:45:00+00:00,-0.03389338774249329,"[255.0, 33.8751893278173, 0.0]",8.890064082231568,27
21,5,-65.75694444444444,2021-04-23 11:01:24.519000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 11:00:00+00:00,-0.0631905006690819,"[238.9991153476371, 0.0, 0.0]",7.4984512182186105,27
21,5,-63.862676056338024,2021-04-23 11:16:24.029000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 11:15:00+00:00,-0.09017728716369502,"[194.370966371662, 0.0, 0.0]",6.216578859724486,27
21,5,-64.88620689655173,2021-04-23 11:31:24.355000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 11:30:00+00:00,-0.07559550539035775,"[217.99763347658995, 0.0, 0.0]",6.909213493958006,27
21,5,-70.71052631578947,2021-04-23 11:46:23.951000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 11:45:00+00:00,0.007380943791967818,"[255.0, 102.1250784217475, 0.0]",10.850594830118471,27
21,5,-70.38283828382838,2021-04-23 12:01:24.343000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 12:00:00+00:00,0.002712520346326152,"[255.0, 94.25009121860178, 0.0]",10.628844716450493,27
21,5,-67.31141868512111,2021-04-23 12:16:23.906000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 12:15:00+00:00,-0.041044607981482246,"[255.0, 20.75021065590768, 0.0]",8.550381120879592,27
21,5,-68.12582781456953,2021-04-23 12:31:23.994000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 12:30:00+00:00,-0.029442088806436197,"[255.0, 41.75017653096314, 0.0]",9.10150078169428,27
21,5,-66.79094076655052,2021-04-23 12:46:28.492000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 12:45:00+00:00,-0.04845962190021534,"[255.0, 7.62523198399802, 0.0]",8.198167959739772,27
21,5,-69.53454545454545,2021-04-23 13:01:23.867000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 13:00:00+00:00,-0.009372724602333958,"[255.0, 75.87512107792821, 0.0]",10.054795581389136,27
21,5,-67.13669064748201,2021-04-23 13:16:24.370000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 13:15:00+00:00,-0.04353387944691737,"[255.0, 18.125214921525746, 0.0]",8.432140726271426,27
21,5,-69.8080808080808,2021-04-23 13:31:24.150000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 13:30:00+00:00,-0.005475789917188203,"[255.0, 81.12511254669211, 0.0]",10.239899978933561,27
21,5,-69.55072463768116,2021-04-23 13:46:24.271000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 13:45:00+00:00,-0.009142227084832236,"[255.0, 75.87512107792821, 0.0]",10.065744213470468,27
21,5,-69.37704918032786,2021-04-23 14:01:24.672000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 14:00:00+00:00,-0.011616502914158076,"[255.0, 70.62512960916439, 0.0]",9.94821611157749,27
21,5,-72.37037037037037,2021-04-23 14:16:23.969000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 14:15:00+00:00,0.031027992645538866,"[255.0, 141.50001443747655, 0.0]",11.973829650663095,27
21,5,-69.81632653061224,2021-04-23 14:31:24.164000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 14:30:00+00:00,-0.00535831683108963,"[255.0, 81.12511254669211, 0.0]",10.245479950523242,27
21,5,-68.54882154882155,2021-04-23 14:46:24.642000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 14:45:00+00:00,-0.023415888049198506,"[255.0, 52.250159468490864, 0.0]",9.387745317663072,27
21,5,-70.71174377224199,2021-04-23 15:01:25.004000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 15:00:00+00:00,0.007398288344385523,"[255.0, 102.1250784217475, 0.0]",10.851418696358312,27
21,5,-69.96610169491525,2021-04-23 15:16:24.644000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 15:15:00+00:00,-0.003224537686265608,"[255.0, 83.75010828107405, 0.0]",10.346834459902384,27
21,5,-70.65635738831615,2021-04-23 15:31:25.151000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 15:30:00+00:00,0.006609223538627267,"[255.0, 102.1250784217475, 0.0]",10.813938118084796,27
21,5,-69.57239057239057,2021-04-23 15:46:23.529000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 15:45:00+00:00,-0.008833562294837102,"[255.0, 75.87512107792821, 0.0]",10.080405790995238,27
21,5,-72.03389830508475,2021-04-23 16:01:24.725000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 16:00:00+00:00,0.02623442704296787,"[255.0, 133.62502723433076, 0.0]",11.746135284540975,27
21,5,-68.35314685314685,2021-04-23 16:16:24.232000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 16:15:00+00:00,-0.02620357709459833,"[255.0, 47.000167999727, 0.0]",9.255330088006579,27
21,5,-70.77543859649123,2021-04-23 16:31:24.542000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 16:30:00+00:00,0.0083057197483084,"[255.0, 104.7500741561295, 0.0]",10.89452168804465,27
21,5,-70.94333333333333,2021-04-23 16:46:25.816000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 16:45:00+00:00,0.010697640262410588,"[255.0, 107.37506989051143, 0.0]",11.008137912464504,27
